1,373.5,1482.5,610.5,1572.5,1
2,395.5,615.5,630.5,717.5,1
3,395.5,2280.5,617.5,2365.5,1
4,890.5,2267.5,1116.5,2354.5,1
5,974.5,1495.5,1196.5,1587.5,1
6,1009.5,628.5,1254.5,745.5,1
7,1273.5,2952.5,1490.5,3049.5,1
8,1408.5,2285.5,1628.5,2371.5,1
9,1429.5,3194.5,1636.5,3287.5,1
10,1515.5,1509.5,1741.5,1598.5,1
11,1541.5,649.5,1790.5,766.5,1
12,1812.5,2955.5,2016.5,3050.5,1
13,1960.5,2292.5,2169.5,2376.5,1
14,2014.5,1512.5,2238.5,1604.5,1
15,2044.5,681.5,2285.5,782.5,1
16,2451.5,2282.5,2667.5,2370.5,1
17,2531.5,1501.5,2744.5,1604.5,1
18,2584.5,681.5,2810.5,781.5,1
